"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","blast_hit","evalue","ProteinNames","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"1242","Pocillopora_acuta_HIv2___RNAseq.g26455.t1",2244.83015482519,2.39589622028467,2.51339680199118,0.000506610401811104,0.00330668449990786,NA,NA,NA,NA,NA,NA,NA
"1243","Pocillopora_acuta_HIv2___RNAseq.g28585.t1",244.392613219257,2.83398824541292,2.55427539470575,0.000521687332588837,0.00339131936115278,NA,NA,NA,NA,NA,NA,NA
"1244","Pocillopora_acuta_HIv2___TS.g28685.t1",239.649795067491,3.29574248549946,1.54195700369294,0.000528835127756431,0.0034300768107036,NA,NA,NA,NA,NA,NA,NA
"1245","Pocillopora_acuta_HIv2___RNAseq.g764.t1",3728.93005945397,2.30938797911595,0.948232344343333,0.000530342379912072,0.0034383111533161,NA,NA,NA,NA,NA,NA,NA
"1246","Pocillopora_acuta_HIv2___RNAseq.g18763.t1",1126.26146301497,2.12113913784724,0.775384758133833,0.000532376605837427,0.00344686447038162,"P50430",3.56e-139,"Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)","anterior head development [GO:0097065]; autophagy [GO:0006914]; colon epithelial cell migration [GO:0061580]; dermatan sulfate catabolic process [GO:0030209]; positive regulation of neuron projection development [GO:0010976]; regulation of epithelial cell migration [GO:0010632]; response to estrogen [GO:0043627]; response to methylmercury [GO:0051597]; response to nutrient [GO:0007584]; response to pH [GO:0009268]","GO:0003943; GO:0004065; GO:0005764; GO:0006914; GO:0007584; GO:0008484; GO:0009268; GO:0009986; GO:0010632; GO:0010976; GO:0030209; GO:0043627; GO:0043890; GO:0046872; GO:0051597; GO:0061580; GO:0097065","cell surface [GO:0009986]; lysosome [GO:0005764]","arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; N-acetylgalactosamine-4-sulfatase activity [GO:0003943]; N-acetylgalactosamine-6-sulfatase activity [GO:0043890]; sulfuric ester hydrolase activity [GO:0008484]"
"1247","Pocillopora_acuta_HIv2___RNAseq.g6037.t1",834.39555573937,2.5355960116659,1.19622857014535,0.000537467818403492,0.00347360792019129,NA,NA,NA,NA,NA,NA,NA
"1248","Pocillopora_acuta_HIv2___RNAseq.g22262.t1",54.6132730203529,2.6855092746993,4.44188126921557,0.000540597532855595,0.0034891578381184,"P54422",4.68e-26,"Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]","glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; proteolysis [GO:0006508]","GO:0005576; GO:0006508; GO:0006750; GO:0006751; GO:0036374; GO:0103068","extracellular region [GO:0005576]","glutathione hydrolase activity [GO:0036374]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]"
"1249","Pocillopora_acuta_HIv2___TS.g1462.t1",972.093848949411,1.11414710953081,1.83547536422311,0.000545099009665459,0.00351664231748492,"P98133",0,"Fibrillin-1 (MP340) [Cleaved into: Asprosin]","anatomical structure morphogenesis [GO:0009653]","GO:0001527; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0008201; GO:0009653; GO:0031012","extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]","calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; hormone activity [GO:0005179]"
"1250","Pocillopora_acuta_HIv2___RNAseq.g706.t1",4411.72644151322,2.85179719446476,2.82070084769276,0.00054911440645144,0.00353938982839288,NA,NA,NA,NA,NA,NA,NA
"1251","Pocillopora_acuta_HIv2___RNAseq.g618.t1",549.372576804797,-2.36897633330025,2.80555328106387,0.000550469702798918,0.00354654511415748,"Q9Y3B3",9.19e-42,"Transmembrane emp24 domain-containing protein 7 (p24 family protein gamma-3) (p24gamma3) (p27)","endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]","GO:0000139; GO:0005783; GO:0005789; GO:0005793; GO:0005794; GO:0006886; GO:0006888; GO:0007030; GO:0030126; GO:0030127; GO:0030133; GO:0030134; GO:0033116; GO:0038024","COPI vesicle coat [GO:0030126]; COPII vesicle coat [GO:0030127]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; transport vesicle [GO:0030133]","cargo receptor activity [GO:0038024]"
"1252","Pocillopora_acuta_HIv2___RNAseq.g19308.t1",60.1177448583493,2.31573132355729,0.861527977231815,0.000552287023737173,0.00355666941733503,NA,NA,NA,NA,NA,NA,NA
"1253","Pocillopora_acuta_HIv2___RNAseq.g28746.t1",1193.65422691206,-3.17430222485993,1.7123399894243,0.000552963368940177,0.00355944021733454,"A8MY62",2.07e-49,"Putative beta-lactamase-like 1","","","",""
"1254","Pocillopora_acuta_HIv2___RNAseq.g28504.t1",1178.74503629064,3.17438747892071,2.15224888197007,0.000568542836504095,0.00365160017193394,"O89029",2.03e-13,"Matrilin-4 (MAT-4)","extracellular matrix organization [GO:0030198]; response to axon injury [GO:0048678]","GO:0005509; GO:0005576; GO:0030198; GO:0048678; GO:0062023; GO:0120216","collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; matrilin complex [GO:0120216]","calcium ion binding [GO:0005509]"
"1255","Pocillopora_acuta_HIv2___RNAseq.g26117.t1b",157.327138404517,-3.46982121697033,4.13029939126081,0.000569692461690236,0.00365735986058037,NA,NA,NA,NA,NA,NA,NA
"1256","Pocillopora_acuta_HIv2___RNAseq.g9553.t1b",710.800425580721,2.01561252605448,0.720557216104854,0.000570054474890626,0.00365806030382343,"A0A411L030",9.6e-39,"Proline hydroxylase buaE (EC 1.14.11.-) (2-oxoglutarate-dependent dioxygenase buaE) (Burnettramic acids biosynthesis cluster protein E)","antibiotic biosynthetic process [GO:0017000]; small molecule biosynthetic process [GO:0044283]","GO:0017000; GO:0044283; GO:0046872; GO:0051213","","dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]"
"1257","Pocillopora_acuta_HIv2___RNAseq.g29506.t1",560.385379456574,-1.9876086047632,3.09008503905679,0.000571286964785534,0.00366434352933834,"Q9BSR8",2e-87,"Protein YIPF4 (YIP1 family member 4)","endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; vesicle fusion with Golgi apparatus [GO:0048280]","GO:0005783; GO:0005794; GO:0005802; GO:0005886; GO:0006888; GO:0043231; GO:0048280","endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]",""
"1258","Pocillopora_acuta_HIv2___TS.g27153.t2",357.955992596386,-2.83065027002568,1.36426174145571,0.000572920768802535,0.00367319414891838,"A6H8I2",0,"Small G protein signaling modulator 3 homolog (RUN and TBC1 domain-containing protein 3)","","","",""
"1259","Pocillopora_acuta_HIv2___RNAseq.g8148.t1",2320.13158146332,3.40378680699814,1.75761566839791,0.000578447398931376,0.00370698412855269,"Q96RW7",0,"Hemicentin-1 (Fibulin-6) (FIBL-6)","actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601]","GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711","adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; muscle tendon junction [GO:0005927]","calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]"
"1260","Pocillopora_acuta_HIv2___RNAseq.g13823.t1",2705.40623241689,2.72371626570437,2.56817285255787,0.000582548893513735,0.0037283129184879,"B3EWY9",0,"Mucin-like protein","cell-matrix adhesion [GO:0007160]","GO:0005509; GO:0005615; GO:0007160; GO:0016020","extracellular space [GO:0005615]; membrane [GO:0016020]","calcium ion binding [GO:0005509]"
"1261","Pocillopora_acuta_HIv2___RNAseq.g11960.t1",114.827699348794,-2.86416538914356,1.27280182773813,0.000586581269174884,0.00375080082994939,"Q1RLX4",9.93e-70,"Trafficking protein particle complex subunit 11 (Protein foie gras)","Golgi organization [GO:0007030]; lipid homeostasis [GO:0055088]; liver development [GO:0001889]; protein N-linked glycosylation [GO:0006487]; protein secretion [GO:0009306]; regulation of response to endoplasmic reticulum stress [GO:1905897]; retina development in camera-type eye [GO:0060041]; vesicle-mediated transport [GO:0016192]","GO:0001889; GO:0005794; GO:0006487; GO:0007030; GO:0009306; GO:0016192; GO:0055088; GO:0060041; GO:1905897","Golgi apparatus [GO:0005794]",""
"1262","Pocillopora_acuta_HIv2___RNAseq.g2586.t1c",338.049591336376,-2.23860669998815,0.875621655666808,0.000590597285993577,0.00377175012531075,NA,NA,NA,NA,NA,NA,NA
"1263","Pocillopora_acuta_HIv2___RNAseq.g18025.t1",231.886845394456,2.0255669636361,0.729213292885625,0.000594199638920129,0.00379113523482168,NA,NA,NA,NA,NA,NA,NA
"1264","Pocillopora_acuta_HIv2___TS.g1350.t1",11229.3611067898,2.43601809861638,1.08398639701619,0.000596990469336906,0.00380726197023325,"P02466",8.4e-152,"Collagen alpha-2(I) chain (Alpha-2 type I collagen)","blood vessel development [GO:0001568]; bone mineralization [GO:0030282]; cellular response to aldehyde [GO:0110096]; cellular response to amino acid stimulus [GO:0071230]; cellular response to retinoic acid [GO:0071300]; cellular response to thyroid hormone stimulus [GO:0097067]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; extracellular matrix assembly [GO:0085029]; extracellular matrix organization [GO:0030198]; protein heterotrimerization [GO:0070208]; regulation of blood pressure [GO:0008217]; response to norepinephrine [GO:0071873]; Rho protein signal transduction [GO:0007266]; skeletal system development [GO:0001501]; skin morphogenesis [GO:0043589]; transforming growth factor beta receptor signaling pathway [GO:0007179]","GO:0001501; GO:0001568; GO:0002020; GO:0005576; GO:0005581; GO:0005584; GO:0005615; GO:0007179; GO:0007266; GO:0008217; GO:0030020; GO:0030198; GO:0030199; GO:0030282; GO:0030674; GO:0032963; GO:0042802; GO:0043589; GO:0046332; GO:0046872; GO:0048407; GO:0062023; GO:0070208; GO:0071230; GO:0071300; GO:0071873; GO:0085029; GO:0097067; GO:0110096","collagen trimer [GO:0005581]; collagen type I trimer [GO:0005584]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular space [GO:0005615]","extracellular matrix structural constituent conferring tensile strength [GO:0030020]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; platelet-derived growth factor binding [GO:0048407]; protease binding [GO:0002020]; protein-macromolecule adaptor activity [GO:0030674]; SMAD binding [GO:0046332]"
"1265","Pocillopora_acuta_HIv2___RNAseq.g3724.t1",2912.48215599092,-2.08799364726817,0.792800156812151,0.00060071298925541,0.00382762672977544,"P14207",2.02e-53,"Folate receptor beta (FR-beta) (Folate receptor 2) (Folate receptor, fetal/placental) (Placental folate-binding protein) (FBP)","cell adhesion [GO:0007155]; folic acid transport [GO:0015884]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; inflammatory response [GO:0006954]; positive regulation of cell population proliferation [GO:0008284]; sperm-egg recognition [GO:0035036]","GO:0005542; GO:0005576; GO:0005886; GO:0006954; GO:0007155; GO:0007342; GO:0008284; GO:0009897; GO:0009986; GO:0015884; GO:0035036; GO:0038023; GO:0061714","cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]","folic acid binding [GO:0005542]; folic acid receptor activity [GO:0061714]; signaling receptor activity [GO:0038023]"
"1266","Pocillopora_acuta_HIv2___TS.g16387.t1",1616.47444472284,-2.26718012076081,0.912104203044498,0.000601392843767793,0.00383027128677118,"Q24UI6",7.04e-55,"Translation initiation factor IF-2","","GO:0003743; GO:0003924; GO:0005525; GO:0005737","cytoplasm [GO:0005737]","GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]"
"1267","Pocillopora_acuta_HIv2___RNAseq.g7450.t1",126.099581119041,-2.81550678655406,1.96221957841618,0.000604384172618116,0.00384243531495755,NA,NA,NA,NA,NA,NA,NA
"1268","Pocillopora_acuta_HIv2___RNAseq.g6836.t1",25.2147696725998,-7.7310317038347,4.08316733705514,0.000605554587356906,0.00384661464713671,"Q8WU66",5.46e-17,"Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR)","hair cycle process [GO:0022405]; Notch signaling pathway [GO:0007219]; regulation of Notch signaling pathway [GO:0008593]; sensory perception of sound [GO:0007605]; signal transduction [GO:0007165]; tooth mineralization [GO:0034505]","GO:0005576; GO:0007165; GO:0007219; GO:0007605; GO:0008593; GO:0009986; GO:0022405; GO:0032420; GO:0034505; GO:0060170","cell surface [GO:0009986]; ciliary membrane [GO:0060170]; extracellular region [GO:0005576]; stereocilium [GO:0032420]",""
"1269","Pocillopora_acuta_HIv2___TS.g30131.t1",1929.24112474161,2.34977195864943,1.02485975898963,0.000607235430531852,0.00385559844917151,"P24369",3.4e-74,"Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)","bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; neutrophil chemotaxis [GO:0030593]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of multicellular organism growth [GO:0040018]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; protein stabilization [GO:0050821]","GO:0000413; GO:0003755; GO:0005654; GO:0005737; GO:0005788; GO:0005790; GO:0006457; GO:0016018; GO:0030593; GO:0032991; GO:0034663; GO:0040018; GO:0042470; GO:0043231; GO:0044829; GO:0048471; GO:0050821; GO:0060348; GO:0061077; GO:0070063","cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; smooth endoplasmic reticulum [GO:0005790]","cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA polymerase binding [GO:0070063]"
"1270","Pocillopora_acuta_HIv2___RNAseq.g23492.t1",61.1243654153646,2.92290596582242,2.07091116492759,0.000608936089139185,0.00386300508478473,NA,NA,NA,NA,NA,NA,NA
"1271","Pocillopora_acuta_HIv2___RNAseq.g1930.t1",1599.4340437655,-2.40013486917312,1.06482524911823,0.00062166797513783,0.0039351446793845,"P52160",2.39e-29,"Transcriptional regulator Myc-A (c-Myc-A) (zc-Myc)","hematopoietic stem cell differentiation [GO:0060218]; positive regulation of cell population proliferation [GO:0008284]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of vasculature development [GO:1901342]; vasculature development [GO:0001944]","GO:0000978; GO:0000981; GO:0001944; GO:0003677; GO:0005634; GO:0006357; GO:0008284; GO:0046983; GO:0060218; GO:1901342","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
"1272","Pocillopora_acuta_HIv2___TS.g13806.t1a",492.285474633909,-2.51122642309172,1.45826740943868,0.000622247477466312,0.00393708990116917,"Q9P2G9",0,"Kelch-like protein 8","protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0005654; GO:0006511; GO:0016567; GO:0031463","Cul3-RING ubiquitin ligase complex [GO:0031463]; nucleoplasm [GO:0005654]",""
"1273","Pocillopora_acuta_HIv2___RNAseq.g18501.t1",113.7136644653,-4.84600229181743,2.51904609515401,0.000631020333054783,0.00398745215286607,"Q13490",1.05e-31,"Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)","apoptotic process [GO:0006915]; canonical NF-kappaB signal transduction [GO:0007249]; cell surface receptor signaling pathway [GO:0007166]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of necroptotic process [GO:0060546]; negative regulation of ripoptosome assembly involved in necroptotic process [GO:1902443]; non-canonical NF-kappaB signal transduction [GO:0038061]; placenta development [GO:0001890]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein K48-linked ubiquitination [GO:1902524]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein monoubiquitination [GO:1902527]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of cysteine-type endopeptidase activity [GO:2000116]; regulation of inflammatory response [GO:0050727]; regulation of innate immune response [GO:0045088]; regulation of necroptotic process [GO:0060544]; regulation of non-canonical NF-kappaB signal transduction [GO:1901222]; regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0070424]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of RIG-I signaling pathway [GO:0039535]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to cAMP [GO:0051591]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]","GO:0000209; GO:0001666; GO:0001741; GO:0001890; GO:0003713; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006915; GO:0007166; GO:0007249; GO:0008270; GO:0009898; GO:0016740; GO:0031398; GO:0033209; GO:0034121; GO:0035631; GO:0038061; GO:0039535; GO:0042127; GO:0042802; GO:0042981; GO:0043027; GO:0043066; GO:0043123; GO:0043130; GO:0043161; GO:0044877; GO:0045088; GO:0045471; GO:0045595; GO:0050727; GO:0051087; GO:0051591; GO:0051726; GO:0060544; GO:0060546; GO:0061630; GO:0070266; GO:0070424; GO:0098770; GO:1901222; GO:1902443; GO:1902523; GO:1902524; GO:1902527; GO:2000116; GO:2000377","CD40 receptor complex [GO:0035631]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; nucleus [GO:0005634]; XY body [GO:0001741]","cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; FBXO family protein binding [GO:0098770]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; protein-folding chaperone binding [GO:0051087]; transcription coactivator activity [GO:0003713]; transferase activity [GO:0016740]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"
"1274","Pocillopora_acuta_HIv2___RNAseq.g21280.t1",1104.52950906445,3.13475637601201,1.90919911550251,0.000641790513625316,0.00404481829589393,NA,NA,NA,NA,NA,NA,NA
"1275","Pocillopora_acuta_HIv2___RNAseq.g2851.t1",58.5546497026431,-2.09007725472768,3.32654735655785,0.00064486673886467,0.00405890013530835,NA,NA,NA,NA,NA,NA,NA
"1276","Pocillopora_acuta_HIv2___RNAseq.g25436.t1",482.642446992219,2.71462321761857,2.4172498106025,0.000646617449305736,0.00406814910254813,NA,NA,NA,NA,NA,NA,NA
"1277","Pocillopora_acuta_HIv2___RNAseq.g28678.t1",1207.91590211953,-2.71256532391791,2.21113672511869,0.000655504611277151,0.00411943354043768,"D3UW23",0,"Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Rhiminopeptidase A)","proteolysis [GO:0006508]","GO:0004177; GO:0005886; GO:0006508; GO:0008237; GO:0008270","plasma membrane [GO:0005886]","aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]"
"1278","Pocillopora_acuta_HIv2___RNAseq.g2221.t1",740.328647264728,-2.86848738183825,1.97372451379548,0.000656916129468277,0.00412576417569655,"Q76KP1",5.51e-61,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 (NGalNAc-T1) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase IV) (Beta4GalNAc-T4) (Beta4GalNAcT4)","","GO:0008376; GO:0032580; GO:0033842","Golgi cisterna membrane [GO:0032580]","acetylgalactosaminyltransferase activity [GO:0008376]; N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842]"
"1279","Pocillopora_acuta_HIv2___RNAseq.g22142.t1",72.1082421324344,2.9192882730387,1.90214296280976,0.000667346601829992,0.0041749572875731,NA,NA,NA,NA,NA,NA,NA
"1280","Pocillopora_acuta_HIv2___RNAseq.g12528.t1",624.351712648832,-2.24916299140878,3.00315445877508,0.000672925527557489,0.00420803926960291,"Q91ZM9",1.15e-07,"Docking protein 5 (Downstream of tyrosine kinase 5)","cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; neuron differentiation [GO:0030182]; positive regulation of MAPK cascade [GO:0043410]; Ras protein signal transduction [GO:0007265]; regulation of neurotrophin TRK receptor signaling pathway [GO:0051386]","GO:0005737; GO:0007169; GO:0007265; GO:0030182; GO:0043410; GO:0051386","cytoplasm [GO:0005737]",""
"1281","Pocillopora_acuta_HIv2___RNAseq.10263_t",3036.53535946797,2.56160165782916,1.4410158574203,0.000673743205476247,0.00421133177355594,"Q8IWU5",1.83e-153,"Extracellular sulfatase Sulf-2 (hSulf-2) (Arylsulfatase) (EC 3.1.6.1) (N-acetylglucosamine-6-sulfatase) (EC 3.1.6.14) [Cleaved into: Extracellular sulfatase Sulf-2 secreted form]","bone development [GO:0060348]; cartilage development [GO:0051216]; chondrocyte development [GO:0002063]; embryonic skeletal system development [GO:0048706]; esophagus smooth muscle contraction [GO:0014846]; glial cell-derived neurotrophic factor receptor signaling pathway [GO:0035860]; glomerular basement membrane development [GO:0032836]; glomerular filtration [GO:0003094]; heparan sulfate proteoglycan metabolic process [GO:0030201]; innervation [GO:0060384]; kidney development [GO:0001822]; liver regeneration [GO:0097421]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of endothelin production [GO:1904472]; positive regulation of vascular endothelial growth factor production [GO:0010575]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of hepatocyte proliferation [GO:2000345]; response to wounding [GO:0009611]","GO:0001822; GO:0002063; GO:0003094; GO:0004065; GO:0005509; GO:0005539; GO:0005576; GO:0005615; GO:0005783; GO:0005795; GO:0005886; GO:0008449; GO:0009611; GO:0009986; GO:0010575; GO:0014846; GO:0030177; GO:0030201; GO:0032836; GO:0035860; GO:0040037; GO:0048706; GO:0051216; GO:0060348; GO:0060384; GO:0090263; GO:0097421; GO:1904472; GO:2000345","cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi stack [GO:0005795]; plasma membrane [GO:0005886]","arylsulfatase activity [GO:0004065]; calcium ion binding [GO:0005509]; glycosaminoglycan binding [GO:0005539]; N-acetylglucosamine-6-sulfatase activity [GO:0008449]"
"1282","Pocillopora_acuta_HIv2___RNAseq.g10557.t1",571.935275930207,2.64023564642565,1.00264826733116,0.000679299585087038,0.00424056504043976,"Q7T2H2",5.67e-28,"Fibroblast growth factor receptor-like 1","negative regulation of cell population proliferation [GO:0008285]","GO:0005007; GO:0005886; GO:0008201; GO:0008285; GO:0017134","plasma membrane [GO:0005886]","fibroblast growth factor binding [GO:0017134]; fibroblast growth factor receptor activity [GO:0005007]; heparin binding [GO:0008201]"
"1283","Pocillopora_acuta_HIv2___RNAseq.g9084.t1",3736.00912665436,2.90713894148392,1.40221173097582,0.000692686111808593,0.00431110667865727,"Q8SQ75",1.5e-56,"Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment]","complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; proteolysis [GO:0006508]; response to bacterium [GO:0009617]","GO:0004252; GO:0005601; GO:0006508; GO:0006958; GO:0009617; GO:0045087; GO:0046872; GO:0070062","classical-complement-pathway C3/C5 convertase complex [GO:0005601]; extracellular exosome [GO:0070062]","metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]"
"1284","Pocillopora_acuta_HIv2___TS.g8131.t1",198.189302709465,1.07841495993203,2.09579348185888,0.000694290364054981,0.00431923261320054,"Q8C419",2.94e-67,"Metabotropic glycine receptor (mGlyR) (G-protein coupled receptor 158)","brain development [GO:0007420]; cognition [GO:0050890]; G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of neurotransmitter secretion [GO:0001956]; protein localization to plasma membrane [GO:0072659]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; regulation of synapse organization [GO:0050807]","GO:0001956; GO:0004888; GO:0005634; GO:0005886; GO:0007186; GO:0007420; GO:0008047; GO:0008277; GO:0016020; GO:0042734; GO:0042995; GO:0045211; GO:0050807; GO:0050890; GO:0072659; GO:0098839; GO:0160079","cell projection [GO:0042995]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]","enzyme activator activity [GO:0008047]; G protein-coupled glycine receptor activity [GO:0160079]; transmembrane signaling receptor activity [GO:0004888]"
"1285","Pocillopora_acuta_HIv2___RNAseq.g2273.t1",3039.3243582818,-1.86650029414136,0.668846332758417,0.000703583002584637,0.00436765002119493,"P54145",6.92e-138,"Putative ammonium transporter 1","ammonium homeostasis [GO:0097272]; ammonium transmembrane transport [GO:0072488]","GO:0005886; GO:0008519; GO:0072488; GO:0097272","plasma membrane [GO:0005886]","ammonium channel activity [GO:0008519]"
"1286","Pocillopora_acuta_HIv2___TS.g19616.t2b",636.782212174969,-1.60446226336251,2.35525034529208,0.000709328736230894,0.00439388901106794,NA,NA,NA,NA,NA,NA,NA
"1287","Pocillopora_acuta_HIv2___RNAseq.g4013.t1",171.118611476062,-1.08536962917047,1.80084332709189,0.00071955853031971,0.00444773272758303,NA,NA,NA,NA,NA,NA,NA
