,query,baseMean,log2FoldChange,lfcSE,pvalue,padj,Heatmap_Label,blast_hit,evalue,ProteinNames,BiologicalProcess,GeneOntologyIDs
3319,Pocillopora_acuta_HIv2___TS.g26021.t1,2935.179113,-1.909220734,1.908388936,0.007688942,0.033507943,,Q795M8,9.50E-11,Putative potassium channel protein YugO,,GO:0005267; GO:0005886
3320,Pocillopora_acuta_HIv2___RNAseq.g26319.t1,4443.852525,1.372857168,0.626969633,0.007694307,0.033521223,,Q9UJA9,4.20E-89,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (E-NPP 5) (NPP-5) (EC 3.1.-.-),cell communication [GO:0007154],GO:0000210; GO:0005576; GO:0005886; GO:0007154; GO:0008270
3321,Pocillopora_acuta_HIv2___RNAseq.g13683.t1,3735.239222,1.398739004,0.648530775,0.007717468,0.033611999,,Q9BXW4,4.18E-61,Microtubule-associated proteins 1A/1B light chain 3C (Autophagy-related protein LC3 C) (Autophagy-related ubiquitin-like modifier LC3 C) (MAP1 light chain 3-like protein 3) (MAP1A/MAP1B light chain 3 C) (MAP1A/MAP1B LC3 C) (Microtubule-associated protein 1 light chain 3 gamma),aggrephagy [GO:0035973]; autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy of mitochondrion [GO:0000422]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; macroautophagy [GO:0016236]; protein exit from endoplasmic reticulum [GO:0032527],GO:0000045; GO:0000421; GO:0000422; GO:0005776; GO:0005829; GO:0005874; GO:0006995; GO:0008429; GO:0009267; GO:0012505; GO:0016236; GO:0031090; GO:0031410; GO:0031625; GO:0032527; GO:0035973; GO:0036464; GO:0097352
3322,Pocillopora_acuta_HIv2___RNAseq.g7991.t1,180.6593687,0.629445883,1.20856941,0.00778818,0.033909763,,Q2YDM5,2.46E-25,"Sperm microtubule inner protein 8 (Testis, prostate and placenta-expressed protein)",,GO:0005737; GO:0005856; GO:0031514
3323,Pocillopora_acuta_HIv2___RNAseq.g15320.t1,128.8273344,-0.69836249,1.252925275,0.007797889,0.03394182,,NA,NA,NA,NA,NA
3324,Pocillopora_acuta_HIv2___RNAseq.g13676.t1,611.0646081,-0.724870663,1.271907726,0.007846047,0.034136255,,NA,NA,NA,NA,NA
3325,Pocillopora_acuta_HIv2___RNAseq.g10408.t1,1143.398657,-1.60936169,1.013210226,0.007847279,0.034136255,,P23511,7.20E-32,Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA),positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]; transcription by RNA polymerase II [GO:0006366],GO:0000785; GO:0000978; GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0006366; GO:0016602; GO:0032993; GO:0045893; GO:0045944; GO:0048511; GO:0090575
3326,Pocillopora_acuta_HIv2___RNAseq.g11253.t1,562.242763,-0.286715269,1.036303341,0.007860443,0.034183236,,NA,NA,NA,NA,NA
3327,Pocillopora_acuta_HIv2___RNAseq.g8093.t1,2555.995305,-1.436201207,0.687633563,0.00786945,0.034212121,,Q06A37,0,Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.12) (ATP-dependent helicase CHD7),adult heart development [GO:0007512]; adult walking behavior [GO:0007628]; aorta morphogenesis [GO:0035909]; atrioventricular canal development [GO:0036302]; blood circulation [GO:0008015]; blood vessel remodeling [GO:0001974]; cardiac septum morphogenesis [GO:0060411]; central nervous system development [GO:0007417]; chordate embryonic development [GO:0043009]; chromatin remodeling [GO:0006338]; cognition [GO:0050890]; cranial nerve development [GO:0021545]; embryonic hindlimb morphogenesis [GO:0035116]; epithelium development [GO:0060429]; face development [GO:0060324]; female genitalia development [GO:0030540]; heart morphogenesis [GO:0003007]; inner ear morphogenesis [GO:0042472]; innervation [GO:0060384]; nose development [GO:0043584]; olfactory behavior [GO:0042048]; olfactory bulb development [GO:0021772]; olfactory nerve development [GO:0021553]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of growth hormone secretion [GO:0060123]; regulation of neurogenesis [GO:0050767]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; response to bacterium [GO:0009617]; retina development in camera-type eye [GO:0060041]; right ventricular compact myocardium morphogenesis [GO:0003226]; rRNA processing [GO:0006364]; secondary palate development [GO:0062009]; semicircular canal morphogenesis [GO:0048752]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; T cell differentiation [GO:0030217]; transcription by RNA polymerase II [GO:0006366]; ventricular trabecula myocardium morphogenesis [GO:0003222],GO:0000785; GO:0000978; GO:0001501; GO:0001974; GO:0003007; GO:0003222; GO:0003226; GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006338; GO:0006364; GO:0006366; GO:0007417; GO:0007512; GO:0007605; GO:0007628; GO:0008015; GO:0009617; GO:0010468; GO:0010880; GO:0016887; GO:0021545; GO:0021553; GO:0021772; GO:0030217; GO:0030540; GO:0035116; GO:0035909; GO:0036302; GO:0040018; GO:0042048; GO:0042393; GO:0042472; GO:0043009; GO:0043584; GO:0045944; GO:0048752; GO:0050767; GO:0050890; GO:0060041; GO:0060123; GO:0060324; GO:0060384; GO:0060411; GO:0060429; GO:0062009; GO:0140658; GO:1990841
3328,Pocillopora_acuta_HIv2___RNAseq.g22701.t1,172.9761247,0.193060741,1.038499974,0.007881181,0.034252825,,Q86V85,9.99E-85,Integral membrane protein GPR180 (Intimal thickness-related receptor),G protein-coupled receptor signaling pathway [GO:0007186]; response to pheromone [GO:0019236],GO:0007186; GO:0016020; GO:0019236
3329,Pocillopora_acuta_HIv2___TS.g22400.t1,407.8765465,0.369875002,1.098779895,0.007885399,0.034260861,,Q8K0U4,1.99E-129,Heat shock 70 kDa protein 12A,,GO:0005524; GO:0005634; GO:0005737
3330,Pocillopora_acuta_HIv2___RNAseq.g16055.t1,521.2871487,-1.019947756,1.484667613,0.007898868,0.034309075,,NA,NA,NA,NA,NA
3331,Pocillopora_acuta_HIv2___RNAseq.g17534.t1,547.2114644,-1.609250197,1.62921973,0.007905195,0.034326249,,Q8JFV8,7.59E-39,Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-),negative regulation of mitochondrial fusion [GO:0010637],GO:0005741; GO:0008270; GO:0010637; GO:0016491
3332,Pocillopora_acuta_HIv2___RNAseq.g8813.t1,290.2611181,-0.665106368,1.263288103,0.007933538,0.034438985,,Q11127,1.31E-40,"Alpha-(1,3)-fucosyltransferase 4 (4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase) (EC 2.4.1.152) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)",fucosylation [GO:0036065]; glycosphingolipid biosynthetic process [GO:0006688]; inflammatory response [GO:0006954]; Lewis x epitope biosynthetic process [GO:0106402]; lymphocyte migration into lymph node [GO:0097022]; oligosaccharide metabolic process [GO:0009311]; positive regulation of leukocyte tethering or rolling [GO:1903238]; positive regulation of neutrophil migration [GO:1902624]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; regulation of leukocyte cell-cell adhesion [GO:1903037],GO:0005802; GO:0006487; GO:0006493; GO:0006688; GO:0006954; GO:0009311; GO:0009986; GO:0017083; GO:0032580; GO:0036065; GO:0046920; GO:0071944; GO:0097022; GO:0106402; GO:1902624; GO:1903037; GO:1903238
3333,Pocillopora_acuta_HIv2___RNAseq.g8531.t1,150.7649386,-0.678742499,1.279558238,0.007944682,0.034471884,,Q4R6V2,0,T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon),,GO:0005524; GO:0005813; GO:0005832; GO:0016887; GO:0031681; GO:0051082; GO:0140662
3334,Pocillopora_acuta_HIv2___TS.g25541.t1,181.5471659,-0.833764737,1.350294684,0.007945884,0.034471884,,Q7TPQ9,3.77E-35,Arrestin domain-containing protein 3,fat pad development [GO:0060613]; heat generation [GO:0031649]; negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071878]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of heat generation [GO:0031651]; negative regulation of locomotion involved in locomotory behavior [GO:0090327]; positive regulation of hippo signaling [GO:0035332]; protein transport [GO:0015031]; skin development [GO:0043588]; temperature homeostasis [GO:0001659],GO:0001659; GO:0005737; GO:0005764; GO:0005768; GO:0005769; GO:0005886; GO:0015031; GO:0031649; GO:0031651; GO:0031699; GO:0035332; GO:0043588; GO:0060613; GO:0071878; GO:0090327; GO:0120163
3335,Pocillopora_acuta_HIv2___RNAseq.g26778.t1,1470.527445,0.906553258,1.405704882,0.007949471,0.034477107,,O57460,2.97E-34,Dorsal-ventral patterning tolloid-like protein 1 (EC 3.4.24.-) (Mini fin protein),blood vessel development [GO:0001568]; determination of ventral identity [GO:0048264]; dorsal/ventral pattern formation [GO:0009953]; embryonic caudal fin morphogenesis [GO:0035124]; embryonic hemopoiesis [GO:0035162]; endothelial cell development [GO:0001885]; mesoderm formation [GO:0001707]; positive regulation of BMP signaling pathway [GO:0030513]; post-anal tail morphogenesis [GO:0036342]; protein processing [GO:0016485]; proteolysis [GO:0006508],GO:0001568; GO:0001707; GO:0001885; GO:0004222; GO:0005509; GO:0005576; GO:0005615; GO:0006508; GO:0008233; GO:0008237; GO:0008270; GO:0009953; GO:0016485; GO:0030513; GO:0035124; GO:0035162; GO:0036342; GO:0048264
3336,Pocillopora_acuta_HIv2___RNAseq.g11090.t1,41.21559427,-0.351408974,1.085530688,0.007958209,0.034504659,,NA,NA,NA,NA,NA
3337,Pocillopora_acuta_HIv2___RNAseq.g26762.t1,633.1053682,-0.256675775,1.036634367,0.007969889,0.034544942,,NA,NA,NA,NA,NA
3338,Pocillopora_acuta_HIv2___TS.g11975.t2,378.1264302,-0.762353062,1.294502081,0.007997602,0.034654676,,P23921,0,Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit),2'-deoxyribonucleotide biosynthetic process [GO:0009265]; cell proliferation in forebrain [GO:0021846]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA repair [GO:0006281]; DNA synthesis involved in DNA repair [GO:0000731]; male gonad development [GO:0008584]; mitochondrial DNA replication [GO:0006264]; positive regulation of G0 to G1 transition [GO:0070318]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; protein heterotetramerization [GO:0051290]; pyrimidine nucleobase metabolic process [GO:0006206]; response to ionizing radiation [GO:0010212]; retina development in camera-type eye [GO:0060041]; ribonucleoside diphosphate metabolic process [GO:0009185],GO:0000731; GO:0004748; GO:0005524; GO:0005635; GO:0005739; GO:0005829; GO:0005971; GO:0006206; GO:0006264; GO:0006281; GO:0008584; GO:0009185; GO:0009263; GO:0009265; GO:0010212; GO:0010971; GO:0021846; GO:0042802; GO:0042995; GO:0043025; GO:0051290; GO:0060041; GO:0061731; GO:0070318; GO:0097718; GO:1900087
3339,Pocillopora_acuta_HIv2___RNAseq.g20661.t1,417.2296741,0.763975604,1.32233233,0.008012591,0.03470923,,P46436,1.35E-23,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma),cellular oxidant detoxification [GO:0098869]; glutathione metabolic process [GO:0006749],GO:0004364; GO:0004602; GO:0005737; GO:0005903; GO:0006749; GO:0098869
3340,Pocillopora_acuta_HIv2___RNAseq.g13122.t1,124.927915,-0.338950939,1.079429047,0.008033599,0.034789811,,Q8N567,1.04E-42,Zinc finger CCHC domain-containing protein 9,,GO:0003723; GO:0005654; GO:0005730; GO:0008270
3341,Pocillopora_acuta_HIv2___RNAseq.g8207.t1,637.8197685,0.601274755,1.256038101,0.008036451,0.034791749,,P24507,1.85E-34,Synaptotagmin-C (Synaptic vesicle protein O-p65-C),calcium-ion regulated exocytosis [GO:0017156]; cellular response to calcium ion [GO:0071277]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059],GO:0000149; GO:0001786; GO:0005509; GO:0005544; GO:0005886; GO:0014059; GO:0017156; GO:0017158; GO:0030276; GO:0030672; GO:0071277
3342,Pocillopora_acuta_HIv2___RNAseq.g2716.t1,3466.382893,1.734019991,1.068314935,0.008073617,0.034942189,,O88818,0,Plastin-3 (T-plastin),actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639],GO:0005509; GO:0005737; GO:0005884; GO:0032432; GO:0051015; GO:0051017; GO:0051639
3343,Pocillopora_acuta_HIv2___RNAseq.g4679.t1,670.3949432,1.462797488,0.710243178,0.008079217,0.034955966,,P57729,1.11E-23,Ras-related protein Rab-38 (Melanoma antigen NY-MEL-1),endosome to melanosome transport [GO:0035646]; intracellular protein transport [GO:0006886]; melanosome assembly [GO:1903232]; melanosome organization [GO:0032438]; mitochondrion organization [GO:0007005]; phagosome acidification [GO:0090383]; platelet dense granule organization [GO:0060155]; positive regulation of melanin biosynthetic process [GO:0048023]; positive regulation of phosphatidylcholine biosynthetic process [GO:2001247]; positive regulation of protein localization to cell periphery [GO:1904377]; protein localization to membrane [GO:0072657]; protein transport [GO:0015031]; small GTPase-mediated signal transduction [GO:0007264]; vesicle-mediated transport [GO:0016192],GO:0003924; GO:0005525; GO:0005739; GO:0005764; GO:0005769; GO:0005802; GO:0005829; GO:0005886; GO:0006886; GO:0007005; GO:0007264; GO:0012505; GO:0015031; GO:0016020; GO:0016192; GO:0030670; GO:0030742; GO:0032438; GO:0033162; GO:0035646; GO:0035650; GO:0035651; GO:0036461; GO:0042470; GO:0044233; GO:0044297; GO:0045335; GO:0048023; GO:0048471; GO:0060155; GO:0072657; GO:0090383; GO:1903232; GO:1904377; GO:2001247
3344,Pocillopora_acuta_HIv2___RNAseq.g16101.t1,346.3235676,-1.097687667,1.497718656,0.008088229,0.034984491,,Q8CG45,1.38E-112,Aflatoxin B1 aldehyde reductase member 2 (rAFAR2) (EC 1.1.1.n11) (Succinic semialdehyde reductase) (SSA reductase),daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; lipid metabolic process [GO:0006629],GO:0004032; GO:0004033; GO:0005635; GO:0005737; GO:0005739; GO:0005795; GO:0006629; GO:0019119; GO:0044597; GO:0044598
3345,Pocillopora_acuta_HIv2___RNAseq.g7454.t2,22.4460646,-1.201902688,1.745291409,0.008103657,0.035040746,,P0CI65,3.24E-37,Nephrocystin-3,cilium assembly [GO:0060271]; convergent extension [GO:0060026]; determination of left/right symmetry [GO:0007368]; heart jogging [GO:0003146]; kidney development [GO:0001822]; Kupffer's vesicle development [GO:0070121]; left/right pattern formation [GO:0060972]; pronephros development [GO:0048793]; visual perception [GO:0007601]; Wnt signaling pathway [GO:0016055],GO:0001822; GO:0003146; GO:0005929; GO:0007368; GO:0007601; GO:0016055; GO:0048793; GO:0060026; GO:0060271; GO:0060972; GO:0070121; GO:0097543; GO:0097546
3346,Pocillopora_acuta_HIv2___TS.g13643.t1,327.793406,0.664145865,1.215403664,0.00812407,0.035118516,,A2ASS6,8.24E-23,Titin (EC 2.7.11.1) (Connectin),adult heart development [GO:0007512]; cardiac muscle tissue development [GO:0048738]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; regulation of relaxation of cardiac muscle [GO:1901897]; sarcomere organization [GO:0045214]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; ventricular system development [GO:0021591],GO:0001701; GO:0001756; GO:0003007; GO:0004674; GO:0004713; GO:0005200; GO:0005516; GO:0005524; GO:0005634; GO:0005859; GO:0006936; GO:0007507; GO:0007512; GO:0008307; GO:0021591; GO:0030017; GO:0030018; GO:0030506; GO:0031430; GO:0031672; GO:0031674; GO:0035995; GO:0043056; GO:0045214; GO:0046872; GO:0048738; GO:0055002; GO:0055003; GO:0055008; GO:0060419; GO:0106310; GO:1901897
3347,Pocillopora_acuta_HIv2___RNAseq.g17672.t1,143.6293806,-0.747447862,1.329441796,0.008143425,0.035191663,,Q60739,6.60E-35,BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1),apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; negative regulation of motor neuron apoptotic process [GO:2000672]; negative regulation of protein phosphorylation [GO:0001933]; neuron differentiation [GO:0030182]; positive regulation of Schwann cell differentiation [GO:0014040]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; protein localization to mitochondrion [GO:0070585]; protein stabilization [GO:0050821],GO:0000774; GO:0001933; GO:0005634; GO:0005737; GO:0005829; GO:0006915; GO:0014040; GO:0016020; GO:0030182; GO:0034393; GO:0043066; GO:0048471; GO:0050821; GO:0051087; GO:0070585; GO:2000672
3348,Pocillopora_acuta_HIv2___RNAseq.g14056.t1,783.754468,-0.721146928,1.283254686,0.008151257,0.035214988,,O96005,0,Putative lipid scramblase CLPTM1 (Cleft lip and palate transmembrane protein 1),cell differentiation [GO:0030154]; regulation of T cell differentiation in thymus [GO:0033081],GO:0005886; GO:0009897; GO:0012505; GO:0016020; GO:0030154; GO:0033081; GO:0050811
3349,Pocillopora_acuta_HIv2___RNAseq.g28106.t1b,525.3494587,-0.151822535,1.028360084,0.00815785,0.035232949,,Q91WA3,2.07E-152,Histone deacetylase 11 (HD11) (EC 3.5.1.98),chromatin organization [GO:0006325]; epigenetic regulation of gene expression [GO:0040029]; oligodendrocyte development [GO:0014003],GO:0000118; GO:0004407; GO:0005634; GO:0005737; GO:0005886; GO:0006325; GO:0014003; GO:0040029; GO:0140297
3350,Pocillopora_acuta_HIv2___RNAseq.g28751.t1,574.5448254,-0.455799478,1.085939609,0.008161004,0.035236049,,Q9NZI7,1.09E-112,Upstream-binding protein 1 (Transcription factor LBP-1),angiogenesis [GO:0001525]; negative regulation of viral transcription [GO:0032897]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357],GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0032897; GO:0045944; GO:1990837
3351,Pocillopora_acuta_HIv2___TS.g29833.t1,33.50231289,-0.269147896,1.048749086,0.008165855,0.03524647,,NA,NA,NA,NA,NA
3352,Pocillopora_acuta_HIv2___RNAseq.g28065.t1,882.755549,0.81005106,1.360380589,0.008187348,0.0353287,,Q6Q7I7,2.65E-07,Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide),cell chemotaxis [GO:0060326]; cellular response to mycophenolic acid [GO:0071506]; embryonic placenta development [GO:0001892]; heart development [GO:0007507]; metanephric glomerular mesangial cell development [GO:0072255]; monocyte chemotaxis [GO:0002548]; negative regulation of gene expression [GO:0010629]; negative regulation of phosphatidylinositol biosynthetic process [GO:0010512]; negative regulation of platelet activation [GO:0010544]; paracrine signaling [GO:0038001]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of calcium ion import [GO:0090280]; positive regulation of cell division [GO:0051781]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemotaxis [GO:0050921]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of glomerular filtration [GO:0003104]; positive regulation of glomerular mesangial cell proliferation [GO:0072126]; positive regulation of hyaluronan biosynthetic process [GO:1900127]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of metanephric mesenchymal cell migration [GO:2000591]; positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway [GO:0035793]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; protein phosphorylation [GO:0006468]; reactive oxygen species metabolic process [GO:0072593]; response to wounding [GO:0009611],GO:0001892; GO:0001938; GO:0002548; GO:0003104; GO:0005161; GO:0005615; GO:0005737; GO:0006468; GO:0007507; GO:0008083; GO:0008284; GO:0009611; GO:0009986; GO:0010512; GO:0010544; GO:0010629; GO:0014911; GO:0016176; GO:0016323; GO:0018108; GO:0030335; GO:0031954; GO:0035793; GO:0038001; GO:0042803; GO:0043406; GO:0043410; GO:0043536; GO:0045840; GO:0045893; GO:0048008; GO:0048146; GO:0048661; GO:0050921; GO:0051781; GO:0051897; GO:0060326; GO:0070374; GO:0071506; GO:0072126; GO:0072255; GO:0072593; GO:0090280; GO:1900127; GO:1904707; GO:2000379; GO:2000573; GO:2000591
3353,Pocillopora_acuta_HIv2___TS.g22622.t1,5425.140613,-1.333726606,0.611353459,0.008228689,0.035486441,Myosin-9,P14105,6.83E-36,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)",actin cytoskeleton organization [GO:0030036]; actin filament-based movement [GO:0030048]; angiogenesis [GO:0001525]; blood vessel endothelial cell migration [GO:0043534]; cortical granule exocytosis [GO:0060471]; cytokinetic process [GO:0032506]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte differentiation [GO:0030224]; myosin filament assembly [GO:0031034]; platelet formation [GO:0030220]; protein transport [GO:0015031]; regulation of cell shape [GO:0008360],GO:0000146; GO:0001525; GO:0001725; GO:0001726; GO:0005178; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005826; GO:0005829; GO:0005886; GO:0005938; GO:0006509; GO:0008360; GO:0015031; GO:0015629; GO:0016460; GO:0030036; GO:0030048; GO:0030220; GO:0030224; GO:0031034; GO:0031252; GO:0032154; GO:0032506; GO:0032982; GO:0032991; GO:0042803; GO:0043495; GO:0043534; GO:0051015; GO:0060471; GO:0060473
3354,Pocillopora_acuta_HIv2___RNAseq.g1903.t1,68.06267004,-0.267591226,1.056250192,0.008228811,0.035486441,,Q5F3A6,1.31E-79,Ubiquitin thioesterase OTU1 (EC 3.4.19.12),endoplasmic reticulum unfolded protein response [GO:0030968]; ERAD pathway [GO:0036503]; macroautophagy [GO:0016236]; protein deubiquitination [GO:0016579]; protein K11-linked deubiquitination [GO:0035871]; protein K27-linked deubiquitination [GO:1990167]; protein K29-linked deubiquitination [GO:0035523]; protein K33-linked deubiquitination [GO:1990168]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536],GO:0004843; GO:0005737; GO:0016236; GO:0016579; GO:0030968; GO:0035523; GO:0035871; GO:0036503; GO:0046872; GO:0070536; GO:0071108; GO:1990167; GO:1990168
3355,Pocillopora_acuta_HIv2___RNAseq.g42.t1,240.0938493,-0.624338942,1.212483424,0.008239869,0.0355213,,Q8BLN6,0,Protein unc-80 homolog (mUNC-80),monoatomic cation homeostasis [GO:0055080],GO:0005261; GO:0005886; GO:0030424; GO:0030425; GO:0034703; GO:0034706; GO:0055080
3356,Pocillopora_acuta_HIv2___RNAseq.g26590.t1,238.7718995,1.678819096,1.121419748,0.008241806,0.0355213,,Q3YBN2,8.89E-07,Tear acid lipase-like protein (TALLP),sterol metabolic process [GO:0016125],GO:0004771; GO:0005615; GO:0008289; GO:0016125; GO:0043231
3357,Pocillopora_acuta_HIv2___RNAseq.g4464.t1,345.9009988,-0.54393673,1.133533354,0.008249246,0.035542776,,Q61029,1.37E-12,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma (Thymopoietin isoforms beta/delta/epsilon/gamma) (TP beta/delta/epsilon/gamma)",regulation of DNA-templated transcription [GO:0006355],GO:0000785; GO:0003677; GO:0005634; GO:0005635; GO:0005637; GO:0006355
3358,Pocillopora_acuta_HIv2___RNAseq.g23422.t1,62.07274216,-0.459023411,1.127730229,0.008258006,0.035569923,,NA,NA,NA,NA,NA
3359,Pocillopora_acuta_HIv2___RNAseq.g24323.t1,507.4724562,-0.933426649,1.436144644,0.008274253,0.035629295,,NA,NA,NA,NA,NA
3360,Pocillopora_acuta_HIv2___RNAseq.g21021.t1,4513.055432,-1.579647001,0.923159081,0.008297824,0.035720158,,Q66KI8,2.81E-79,Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein homolog) (Protein primglo) (xPgo),negative regulation of Wnt signaling pathway [GO:0030178]; Wnt signaling pathway [GO:0016055],GO:0005886; GO:0016055; GO:0017147; GO:0030178
3361,Pocillopora_acuta_HIv2___RNAseq.g26052.t1,970.4615698,1.767253236,1.129602859,0.008307317,0.035744042,,NA,NA,NA,NA,NA
3362,Pocillopora_acuta_HIv2___RNAseq.g7660.t2,598.4106083,-1.737553524,1.197516975,0.008308315,0.035744042,,Q91WC9,6.84E-117,Diacylglycerol lipase-beta (DAGL-beta) (DAGLbeta) (DGL-beta) (EC 3.1.1.116) (PUFA-specific triacylglycerol lipase) (EC 3.1.1.3) (Sn1-specific diacylglycerol lipase beta),arachidonic acid metabolic process [GO:0019369]; cannabinoid biosynthetic process [GO:1901696]; diacylglycerol catabolic process [GO:0046340]; icosanoid metabolic process [GO:0006690]; monoacylglycerol biosynthetic process [GO:0006640]; neuroblast proliferation [GO:0007405]; neurogenesis [GO:0022008]; positive regulation of triglyceride catabolic process [GO:0010898]; prostaglandin biosynthetic process [GO:0001516]; regulation of inflammatory response [GO:0050727],GO:0001516; GO:0004806; GO:0005654; GO:0005886; GO:0006640; GO:0006690; GO:0007405; GO:0010898; GO:0016298; GO:0019369; GO:0022008; GO:0046340; GO:0046872; GO:0047372; GO:0050727; GO:1901696
3363,Pocillopora_acuta_HIv2___RNAseq.g14274.t1,39.12787521,-0.095301264,1.020745453,0.008311868,0.035748694,,NA,NA,NA,NA,NA
3364,Pocillopora_acuta_HIv2___RNAseq.g14581.t1,79.58387131,-1.138039002,1.584812725,0.008346095,0.035885232,,NA,NA,NA,NA,NA
3365,Pocillopora_acuta_HIv2___RNAseq.g19633.t1,35.16923961,-0.469309973,1.165446714,0.008359469,0.035932053,,NA,NA,NA,NA,NA
3366,Pocillopora_acuta_HIv2___RNAseq.g19467.t1,173.3892064,-0.310914067,1.067994063,0.008368975,0.035956935,,Q5QD12,4.60E-17,Trace amine-associated receptor 7a (TaR-7a) (Trace amine receptor 7a) (mTaar7a),,GO:0001594; GO:0005886
3367,Pocillopora_acuta_HIv2___RNAseq.g15837.t1,4778.990361,1.674148427,1.01970915,0.00837023,0.035956935,,Q9U5M4,4.16E-14,Tropomyosin-2,actin filament organization [GO:0007015]; muscle contraction [GO:0006936],GO:0005884; GO:0006936; GO:0007015; GO:0051015
